> Task :checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :processResources NO-SOURCE
> Task :compileKotlin
> Task :compileJava NO-SOURCE
> Task :classes UP-TO-DATE
> Task :cir2
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=11h 10m 0.050549333s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=11h 20m 0.050991833s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=11h 30m 0.051442041s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=11h 40m 0.051932875s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=11h 50m 0.052309541s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=12h 0m 0.052669666s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=12h 10m 0.053100791s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 0] t=12h 20m 0.053571916s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 1] t=12h 30m 0.054050458s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 1] t=12h 40m 0.054491333s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 1] t=12h 50m 0.055035750s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 1] t=13h 0m 0.055531250s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 2] t=13h 10m 0.056017625s
processing k=19 [0, 1, 1, 1, 0, 0, 0, 0, 2] t=13h 20m 0.056514s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 0] t=13h 30m 0.056975666s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 0] t=13h 40m 0.057472375s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 0] t=13h 50m 0.057849458s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 0] t=14h 0m 0.058117208s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 1] t=14h 10m 0.058476250s
processing k=19 [0, 2, 1, 0, 0, 0, 0, 0, 1] t=14h 20m 0.058722291s
processing k=19 [0, 3, 0, 0, 0, 0, 0, 0, 0] t=14h 30m 0.059344500s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=14h 40m 0.059612083s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=14h 50m 0.059966083s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 0m 0.060150916s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 10m 0.060588666s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 20m 0.060979125s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 30m 0.061207083s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 40m 0.061468416s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=15h 50m 0.061973583s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=16h 0m 0.062759500s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=16h 10m 0.063251125s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=16h 20m 0.063687666s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 0] t=16h 30m 0.064203291s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 1] t=16h 40m 0.064689750s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 1] t=16h 50m 0.065194500s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 1] t=17h 0m 0.065678625s
processing k=19 [0, 1, 1, 1, 1, 0, 0, 0, 2] t=17h 10m 0.066135166s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 0] t=17h 20m 0.066580500s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 0] t=17h 30m 0.067032250s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 0] t=17h 40m 0.067566375s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 0] t=17h 50m 0.068928333s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 0] t=18h 0m 0.069457833s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 1] t=18h 10m 0.069966791s
processing k=19 [0, 2, 1, 1, 0, 0, 0, 0, 3] t=18h 20m 0.071133875s
processing k=19 [0, 2, 2, 0, 0, 0, 0, 0, 0] t=18h 30m 0.072128291s
processing k=19 [0, 3, 1, 0, 0, 0, 0, 0, 0] t=18h 40m 0.072617541s
processing k=19 [0, 3, 1, 0, 0, 0, 0, 0, 0] t=18h 50m 0.073056041s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 0] t=19h 0m 0.073556041s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 0] t=19h 10m 0.074023500s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 0] t=19h 20m 0.074451708s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 0] t=19h 30m 0.074963875s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 0] t=19h 40m 0.075401916s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 1] t=19h 50m 0.075879541s
processing k=19 [0, 1, 1, 1, 1, 1, 0, 0, 2] t=20h 0m 0.076474708s
